epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5832,1.8956,3.34077,1.80328,1.75219,0.00018,0.03065,9e-05,3e-05,0,0,0,0,nan,nan,nan,nan,0.0702632,0.00330409,0.00330409
2,145.454,1.80746,2.98289,1.27188,1.68592,0.62291,0.53797,0.53683,0.24936,0.52639,0.45564,0.42789,0.14186,2.18093,3.73813,4.87839,2.31212,0.0401974,0.00657172,0.00657172
3,216.896,1.7012,2.85159,1.13378,1.626,0.68615,0.17591,0.22642,0.12245,0.67124,0.18775,0.23126,0.09478,2.63768,6.00727,3.09727,2.79058,0.0100657,0.00977334,0.00977334
4,288.069,1.6715,2.77084,1.09313,1.58355,0.80091,0.75479,0.8341,0.47412,0.80556,0.73021,0.78338,0.33341,1.57343,3.00711,1.0526,1.64608,0.009703,0.009703,0.009703
5,359.24,1.63497,2.68689,1.07659,1.55059,0.83661,0.88284,0.88814,0.49693,0.83655,0.8824,0.88702,0.37662,1.59267,2.54344,1.02878,1.64781,0.009604,0.009604,0.009604
6,430.1,1.60976,2.63976,1.04044,1.52414,0.85066,0.86973,0.90015,0.51825,0.839,0.8659,0.88205,0.39301,1.45393,2.47888,0.9734,1.55326,0.009505,0.009505,0.009505
7,501.048,1.59869,2.58982,0.99855,1.53358,0.85402,0.83525,0.88514,0.51537,0.81849,0.80843,0.83884,0.35821,1.53403,2.65154,0.93946,1.62681,0.009406,0.009406,0.009406
8,572.28,1.54287,2.50697,0.97319,1.46966,0.92491,0.84949,0.89061,0.54025,0.91661,0.84232,0.87105,0.3659,1.45043,2.54692,1.23471,1.53194,0.009307,0.009307,0.009307
9,643.741,1.53128,2.46642,0.9331,1.47583,0.88206,0.81609,0.84715,0.50966,0.87121,0.80345,0.82293,0.3719,1.4662,2.60068,1.24325,1.54296,0.009208,0.009208,0.009208
10,715.304,1.54423,2.47724,0.94458,1.47831,0.87631,0.89578,0.91929,0.56143,0.87631,0.89578,0.9072,0.45385,1.41443,2.20423,0.91486,1.51227,0.009109,0.009109,0.009109
11,786.828,1.5148,2.39271,0.89759,1.45075,0.88629,0.86604,0.91879,0.56127,0.87845,0.85837,0.90757,0.42385,1.39089,2.36535,0.8567,1.46181,0.00901,0.00901,0.00901
12,858.271,1.46007,2.39409,0.8754,1.4229,0.92721,0.85824,0.92824,0.57612,0.92307,0.85441,0.91583,0.45129,1.37887,2.29872,0.83398,1.46947,0.008911,0.008911,0.008911
13,929.834,1.46674,2.34707,0.86716,1.43162,0.88304,0.91188,0.93279,0.59028,0.88188,0.91541,0.91541,0.45444,1.38189,2.22066,0.774,1.46314,0.008812,0.008812,0.008812
14,1001.52,1.43358,2.32066,0.84894,1.39787,0.85371,0.92337,0.90715,0.55577,0.84663,0.91571,0.90548,0.42965,1.35621,2.2038,0.84618,1.43443,0.008713,0.008713,0.008713
15,1073.03,1.43352,2.27348,0.85873,1.39401,0.89391,0.90395,0.91933,0.57797,0.89391,0.90395,0.92125,0.46566,1.34027,2.16643,0.76768,1.44823,0.008614,0.008614,0.008614
16,1144.5,1.43373,2.25405,0.83698,1.39677,0.89194,0.89655,0.91873,0.59077,0.89576,0.90038,0.92304,0.46485,1.25008,2.09375,0.82839,1.38409,0.008515,0.008515,0.008515
17,1216.17,1.42386,2.23646,0.83872,1.392,0.91611,0.89655,0.92301,0.58627,0.90981,0.90421,0.92353,0.47375,1.28339,2.09676,0.72935,1.38836,0.008416,0.008416,0.008416
18,1287.83,1.39921,2.18106,0.82613,1.37911,0.91904,0.8659,0.92219,0.59966,0.91404,0.87356,0.92112,0.47858,1.32174,2.0777,0.74567,1.4182,0.008317,0.008317,0.008317
19,1359.49,1.38717,2.14639,0.78702,1.37174,0.91193,0.87739,0.94265,0.60672,0.91193,0.87739,0.93321,0.49361,1.34033,2.06609,0.74365,1.44264,0.008218,0.008218,0.008218
20,1431.1,1.38095,2.1429,0.79786,1.34558,0.91492,0.90421,0.93511,0.61316,0.9188,0.90805,0.93825,0.48369,1.34315,2.18064,0.72284,1.41952,0.008119,0.008119,0.008119
21,1502.83,1.35898,2.12053,0.77622,1.34223,0.89704,0.92337,0.93964,0.60115,0.87814,0.90421,0.91655,0.49701,1.27562,2.03986,0.72845,1.37829,0.00802,0.00802,0.00802
22,1574.5,1.33956,2.06833,0.77438,1.32648,0.91354,0.89063,0.93268,0.60975,0.90967,0.88747,0.92644,0.49531,1.30946,2.03933,0.69477,1.39421,0.007921,0.007921,0.007921
23,1646.26,1.31535,2.03417,0.7528,1.30854,0.90305,0.92793,0.93947,0.59905,0.90678,0.93176,0.93797,0.49914,1.27293,2.06799,0.70813,1.37864,0.007822,0.007822,0.007822
24,1717.17,1.35488,2.09097,0.7578,1.33663,0.924,0.90038,0.94434,0.61494,0.89405,0.93761,0.93946,0.50611,1.25743,1.98123,0.69826,1.36828,0.007723,0.007723,0.007723
25,1788.29,1.35335,2.11969,0.7727,1.32809,0.90108,0.90746,0.93493,0.59916,0.90108,0.90746,0.93219,0.50813,1.28647,2.07043,0.71248,1.38685,0.007624,0.007624,0.007624
26,1859.32,1.35329,2.04454,0.75103,1.3353,0.90648,0.92842,0.94046,0.61916,0.91056,0.93618,0.94228,0.51595,1.28501,1.99257,0.69514,1.37861,0.007525,0.007525,0.007525
27,1930.43,1.28089,1.94389,0.72262,1.28586,0.90168,0.9387,0.93984,0.63768,0.90168,0.9387,0.93873,0.51892,1.23038,1.9673,0.68164,1.34577,0.007426,0.007426,0.007426
28,2001.53,1.29923,1.98384,0.71205,1.28917,0.90444,0.93487,0.94472,0.61619,0.91178,0.9387,0.94242,0.51668,1.27264,1.91303,0.67263,1.37854,0.007327,0.007327,0.007327
29,2072.5,1.30262,1.98128,0.72215,1.31053,0.93409,0.90421,0.94377,0.63481,0.93805,0.90805,0.94413,0.53204,1.25526,1.95248,0.66662,1.36114,0.007228,0.007228,0.007228
30,2143.66,1.30447,2.00233,0.71864,1.31918,0.92488,0.89626,0.94376,0.60777,0.92883,0.90009,0.94338,0.52595,1.25744,1.93112,0.68568,1.36453,0.007129,0.007129,0.007129
31,2214.47,1.28229,1.96501,0.70228,1.29499,0.92026,0.93103,0.93958,0.63737,0.92742,0.91954,0.9389,0.52651,1.24821,1.90702,0.66931,1.34986,0.00703,0.00703,0.00703
32,2285.52,1.29615,1.96405,0.70308,1.28615,0.91064,0.91954,0.94372,0.62116,0.91064,0.91954,0.9454,0.52784,1.28382,1.88493,0.63415,1.3753,0.006931,0.006931,0.006931
33,2356.6,1.26967,1.92358,0.68125,1.29822,0.91705,0.9319,0.94321,0.62866,0.91705,0.9319,0.93618,0.52347,1.23377,1.92383,0.65783,1.34832,0.006832,0.006832,0.006832
34,2427.59,1.25869,1.8815,0.68607,1.27007,0.94023,0.90407,0.94013,0.63186,0.9409,0.90805,0.93926,0.54635,1.20191,1.84845,0.65728,1.3358,0.006733,0.006733,0.006733
35,2498.77,1.26088,1.9136,0.67471,1.27448,0.93848,0.93513,0.9508,0.64147,0.93079,0.92747,0.94519,0.55603,1.22978,1.85667,0.62659,1.33408,0.006634,0.006634,0.006634
36,2569.83,1.25096,1.89633,0.67414,1.27662,0.92509,0.92337,0.94982,0.63064,0.9332,0.9272,0.94895,0.53538,1.25704,1.86517,0.62247,1.3722,0.006535,0.006535,0.006535
37,2640.88,1.24497,1.85471,0.66867,1.26302,0.91052,0.9357,0.94148,0.62272,0.91052,0.9357,0.93858,0.52271,1.23474,1.87471,0.67175,1.34671,0.006436,0.006436,0.006436
38,2711.91,1.23853,1.86703,0.66165,1.27209,0.93882,0.91954,0.94639,0.62514,0.93491,0.91571,0.94208,0.5259,1.24458,1.99467,0.64446,1.34529,0.006337,0.006337,0.006337
39,2782.91,1.23405,1.89753,0.66626,1.27939,0.92194,0.95023,0.94995,0.63851,0.93812,0.92939,0.94692,0.54528,1.22638,1.81914,0.60967,1.33359,0.006238,0.006238,0.006238
40,2854.04,1.21045,1.82291,0.66474,1.23628,0.90154,0.93103,0.94204,0.64238,0.89634,0.9272,0.94072,0.53135,1.21746,1.91618,0.62348,1.34935,0.006139,0.006139,0.006139
41,2925.03,1.24176,1.81964,0.66186,1.26772,0.92098,0.93771,0.95087,0.65391,0.92098,0.93771,0.95142,0.56292,1.18179,1.78404,0.63037,1.30296,0.00604,0.00604,0.00604
42,2996.2,1.19174,1.77681,0.63934,1.23776,0.91486,0.94687,0.94868,0.6516,0.91486,0.94687,0.94788,0.54493,1.1609,1.82619,0.63826,1.30655,0.005941,0.005941,0.005941
43,3067.24,1.17411,1.79079,0.63008,1.22168,0.93035,0.92122,0.96014,0.66105,0.92921,0.91571,0.95549,0.55001,1.17038,1.81287,0.58546,1.30535,0.005842,0.005842,0.005842
44,3138.67,1.18957,1.80104,0.62458,1.23416,0.92163,0.94624,0.9426,0.63769,0.9179,0.94241,0.93349,0.55503,1.22543,1.85441,0.61858,1.33124,0.005743,0.005743,0.005743
45,3210.23,1.17988,1.74586,0.62422,1.21977,0.93824,0.91571,0.94574,0.64947,0.89792,0.95402,0.94401,0.54751,1.19277,1.79603,0.61939,1.30951,0.005644,0.005644,0.005644
46,3281.85,1.16375,1.76534,0.62236,1.22613,0.93409,0.92311,0.9489,0.64606,0.93026,0.91992,0.94679,0.53745,1.18573,1.89292,0.60533,1.3198,0.005545,0.005545,0.005545
47,3353.61,1.17711,1.7474,0.62765,1.22825,0.91944,0.93103,0.95458,0.64602,0.91515,0.9272,0.95001,0.55706,1.21968,1.82457,0.59875,1.34448,0.005446,0.005446,0.005446
48,3425.2,1.14272,1.72818,0.60747,1.19601,0.91711,0.93265,0.95557,0.6521,0.90958,0.92499,0.94456,0.5553,1.21274,1.81926,0.61601,1.33148,0.005347,0.005347,0.005347
49,3496.77,1.16966,1.75269,0.61481,1.23704,0.92768,0.93376,0.95105,0.65713,0.92387,0.92993,0.9497,0.56764,1.17335,1.82761,0.5924,1.30729,0.005248,0.005248,0.005248
50,3568.54,1.15683,1.74053,0.61245,1.21821,0.92603,0.93487,0.9465,0.65117,0.92223,0.93103,0.9462,0.5489,1.17646,1.84754,0.60563,1.29957,0.005149,0.005149,0.005149
51,3640.14,1.14897,1.72197,0.61136,1.20476,0.9307,0.9272,0.95551,0.65416,0.9307,0.9272,0.95211,0.56724,1.17508,1.76612,0.60929,1.30441,0.00505,0.00505,0.00505
52,3711.83,1.11965,1.68248,0.58637,1.17703,0.91781,0.94127,0.95153,0.65982,0.91781,0.94127,0.9497,0.57421,1.18434,1.77412,0.58917,1.30955,0.004951,0.004951,0.004951
53,3783.69,1.1118,1.68853,0.58782,1.19177,0.92514,0.94703,0.95733,0.66454,0.92514,0.94703,0.9532,0.57723,1.18001,1.77083,0.58815,1.31423,0.004852,0.004852,0.004852
54,3855.46,1.11821,1.67474,0.58924,1.19392,0.93218,0.95785,0.95544,0.6565,0.92473,0.95019,0.94362,0.5736,1.19265,1.81463,0.58666,1.32221,0.004753,0.004753,0.004753
55,3927.04,1.12854,1.70041,0.5981,1.19545,0.90749,0.95785,0.95607,0.66183,0.90386,0.95402,0.94563,0.5584,1.17062,1.79315,0.57523,1.30279,0.004654,0.004654,0.004654
56,3998.73,1.09912,1.64116,0.58279,1.1734,0.9311,0.91954,0.95107,0.6567,0.93732,0.91671,0.95704,0.57366,1.17732,1.7144,0.61067,1.31658,0.004555,0.004555,0.004555
57,4070.29,1.09046,1.61003,0.57499,1.16883,0.91719,0.9387,0.94907,0.66147,0.91325,0.93487,0.9461,0.56699,1.16762,1.78562,0.58831,1.3083,0.004456,0.004456,0.004456
58,4141.97,1.06022,1.61181,0.57068,1.1487,0.91742,0.94636,0.95106,0.64621,0.92059,0.95019,0.95562,0.57015,1.22113,1.7707,0.57096,1.3485,0.004357,0.004357,0.004357
59,4213.75,1.09859,1.62939,0.5837,1.18866,0.93478,0.94636,0.96163,0.66242,0.93478,0.94636,0.95872,0.56604,1.19168,1.77235,0.58774,1.31338,0.004258,0.004258,0.004258
60,4285.09,1.0844,1.62752,0.57702,1.1699,0.93495,0.93612,0.95649,0.66949,0.93495,0.93612,0.95804,0.57814,1.12491,1.74247,0.57403,1.28567,0.004159,0.004159,0.004159
61,4356.12,1.05521,1.60081,0.56125,1.15576,0.91771,0.9387,0.9448,0.65397,0.92566,0.95409,0.94855,0.56813,1.19725,1.79654,0.59432,1.32033,0.00406,0.00406,0.00406
62,4427.16,1.06397,1.57833,0.56875,1.14819,0.91212,0.95437,0.95307,0.65917,0.91212,0.95437,0.95061,0.57152,1.18945,1.8358,0.5614,1.32003,0.003961,0.003961,0.003961
63,4498.14,1.06463,1.56892,0.56178,1.15888,0.90878,0.96935,0.95595,0.65908,0.90519,0.96552,0.94833,0.5649,1.13529,1.77841,0.58336,1.29836,0.003862,0.003862,0.003862
64,4569.44,1.03676,1.54857,0.5515,1.15422,0.9263,0.96317,0.95871,0.66775,0.92262,0.95933,0.94783,0.56802,1.13213,1.82171,0.5639,1.29769,0.003763,0.003763,0.003763
65,4641.13,1.02235,1.52497,0.53831,1.13283,0.91244,0.95402,0.95386,0.67314,0.90878,0.95019,0.95358,0.58871,1.13649,1.81828,0.56456,1.3024,0.003664,0.003664,0.003664
66,4712.99,1.02856,1.55209,0.54298,1.14887,0.92848,0.94502,0.95804,0.66045,0.92206,0.95185,0.95823,0.57879,1.15117,1.72787,0.56892,1.28622,0.003565,0.003565,0.003565
67,4784.79,1.02893,1.59093,0.54187,1.14804,0.91891,0.95019,0.95735,0.66402,0.91891,0.95019,0.95521,0.57534,1.15774,1.77875,0.5635,1.2993,0.003466,0.003466,0.003466
68,4856.46,1.02684,1.5365,0.54354,1.14619,0.93566,0.9472,0.95536,0.66646,0.93189,0.94359,0.95086,0.58174,1.15411,1.74793,0.54042,1.30255,0.003367,0.003367,0.003367
69,4928.22,1.01712,1.53534,0.53616,1.14317,0.91553,0.95516,0.95589,0.67166,0.91553,0.95516,0.94872,0.57875,1.16536,1.85192,0.5493,1.31501,0.003268,0.003268,0.003268
70,4999.9,0.99412,1.51165,0.52636,1.12164,0.92404,0.95019,0.95679,0.66427,0.92404,0.95019,0.95694,0.57668,1.17634,1.78208,0.56212,1.32476,0.003169,0.003169,0.003169
71,5071.59,1.00358,1.48486,0.52393,1.13257,0.92039,0.95019,0.9551,0.67582,0.91668,0.94636,0.94881,0.58685,1.12442,1.76641,0.56185,1.28665,0.00307,0.00307,0.00307
72,5143.36,0.9753,1.47216,0.5107,1.10796,0.91044,0.94253,0.95034,0.66915,0.91414,0.94636,0.9522,0.58292,1.14982,1.75193,0.54494,1.29688,0.002971,0.002971,0.002971
73,5215.03,0.97275,1.4825,0.51554,1.11722,0.91607,0.95785,0.95943,0.67681,0.91607,0.95785,0.95943,0.59346,1.15308,1.77089,0.54763,1.30386,0.002872,0.002872,0.002872
74,5286.75,0.97266,1.45542,0.52527,1.1015,0.91564,0.96552,0.95601,0.67056,0.91564,0.96552,0.95601,0.59025,1.17219,1.86151,0.55424,1.31786,0.002773,0.002773,0.002773
75,5358.31,0.96358,1.44961,0.50752,1.10375,0.91209,0.95019,0.95176,0.67388,0.90842,0.94636,0.94986,0.59278,1.13583,1.76318,0.55551,1.29638,0.002674,0.002674,0.002674
76,5429.29,0.95474,1.46276,0.51391,1.09814,0.89272,0.96169,0.94276,0.66239,0.89272,0.96169,0.94402,0.58961,1.15347,1.79297,0.55843,1.30348,0.002575,0.002575,0.002575
77,5500.33,0.96983,1.44028,0.50764,1.11046,0.90306,0.96169,0.95531,0.6739,0.90718,0.96169,0.95202,0.59246,1.12946,1.76258,0.54623,1.2839,0.002476,0.002476,0.002476
78,5571.22,0.9471,1.45067,0.50152,1.09657,0.9204,0.95785,0.9588,0.68702,0.92408,0.96169,0.96064,0.60888,1.12649,1.7184,0.54012,1.27648,0.002377,0.002377,0.002377
79,5642.38,0.94712,1.44551,0.50175,1.10389,0.91885,0.94636,0.95333,0.66604,0.91885,0.94636,0.94741,0.58186,1.13914,1.76683,0.5491,1.28328,0.002278,0.002278,0.002278
80,5713.27,0.94969,1.45222,0.50763,1.10254,0.91874,0.95301,0.95762,0.6727,0.91874,0.95301,0.9543,0.59635,1.13053,1.76347,0.54392,1.28841,0.002179,0.002179,0.002179
81,5784.21,0.94894,1.41521,0.50129,1.09468,0.92077,0.95402,0.96078,0.67201,0.92077,0.95402,0.95663,0.59046,1.13785,1.77571,0.54482,1.30373,0.00208,0.00208,0.00208
82,5855.12,0.92081,1.40388,0.49069,1.08129,0.90669,0.96794,0.95819,0.67647,0.91028,0.97178,0.95979,0.5984,1.14638,1.75202,0.52701,1.30422,0.001981,0.001981,0.001981
83,5925.9,0.92134,1.39307,0.48432,1.08854,0.91192,0.95201,0.95582,0.66554,0.90825,0.94817,0.95472,0.59187,1.14952,1.80645,0.54192,1.31188,0.001882,0.001882,0.001882
84,5997.07,0.9014,1.35415,0.48228,1.06255,0.90693,0.96169,0.95832,0.67095,0.91055,0.96552,0.96105,0.58862,1.1596,1.80089,0.54592,1.3167,0.001783,0.001783,0.001783
85,6068,0.91188,1.38522,0.48301,1.088,0.91342,0.95019,0.95534,0.68123,0.91711,0.95402,0.95862,0.60081,1.14092,1.74695,0.54593,1.29856,0.001684,0.001684,0.001684
86,6138.89,0.91766,1.38985,0.48327,1.07906,0.91125,0.94417,0.95617,0.66593,0.91125,0.94417,0.95414,0.58915,1.16949,1.77667,0.54055,1.31748,0.001585,0.001585,0.001585
87,6209.82,0.9025,1.34292,0.47074,1.07159,0.92041,0.96169,0.95935,0.6812,0.92041,0.96169,0.96018,0.6027,1.14193,1.74917,0.5415,1.29802,0.001486,0.001486,0.001486
88,6280.66,0.87755,1.35239,0.46525,1.06631,0.91674,0.97034,0.95793,0.67195,0.91366,0.97302,0.95312,0.59337,1.1467,1.82633,0.54163,1.30978,0.001387,0.001387,0.001387
89,6351.55,0.86786,1.33147,0.4672,1.04919,0.91852,0.95785,0.95647,0.68036,0.92219,0.96169,0.96007,0.60861,1.13092,1.78674,0.55264,1.30497,0.001288,0.001288,0.001288
90,6422.54,0.87657,1.32588,0.47402,1.06445,0.91682,0.96552,0.96058,0.67941,0.91684,0.97318,0.9656,0.59886,1.15018,1.8454,0.52464,1.31759,0.001189,0.001189,0.001189
91,6515.77,0.83674,1.32753,0.44738,1.09471,0.92271,0.96058,0.96009,0.68447,0.92271,0.96058,0.96203,0.60324,1.14011,1.78513,0.52672,1.31162,0.00109,0.00109,0.00109
92,6586.1,0.81593,1.2714,0.42998,1.08011,0.91837,0.96552,0.95866,0.67468,0.91837,0.96552,0.95636,0.60206,1.14109,1.83731,0.53594,1.3147,0.000991,0.000991,0.000991
93,6656.38,0.81348,1.27951,0.43758,1.08013,0.92252,0.95796,0.96256,0.6881,0.91883,0.95413,0.95804,0.60665,1.12886,1.82363,0.52513,1.30561,0.000892,0.000892,0.000892
94,6726.93,0.8111,1.2866,0.43409,1.0755,0.92979,0.95019,0.95455,0.679,0.92979,0.95019,0.95468,0.60115,1.14204,1.82903,0.54526,1.31926,0.000793,0.000793,0.000793
95,6797.76,0.80191,1.25999,0.42516,1.06571,0.9136,0.96552,0.95738,0.68189,0.9136,0.96552,0.95862,0.60671,1.13635,1.85823,0.53002,1.31616,0.000694,0.000694,0.000694
96,6868.59,0.79645,1.23447,0.44991,1.06846,0.92483,0.95402,0.95768,0.68381,0.92483,0.95402,0.9577,0.60237,1.1403,1.84202,0.53822,1.31141,0.000595,0.000595,0.000595
97,6939.3,0.77906,1.23684,0.41976,1.0605,0.92822,0.94636,0.96018,0.68498,0.93198,0.95019,0.95933,0.60405,1.12786,1.8443,0.54028,1.30296,0.000496,0.000496,0.000496
98,7010.07,0.7758,1.22472,0.42191,1.05951,0.91352,0.96552,0.95957,0.68357,0.91352,0.96552,0.95883,0.61246,1.12555,1.83886,0.53368,1.30398,0.000397,0.000397,0.000397
99,7081.06,0.78014,1.21731,0.42281,1.04828,0.91664,0.95785,0.95916,0.68706,0.91664,0.95785,0.95856,0.61118,1.12438,1.82962,0.53486,1.30211,0.000298,0.000298,0.000298
100,7152.12,0.75437,1.19547,0.41985,1.04559,0.92152,0.96552,0.9593,0.68195,0.92152,0.96552,0.95789,0.60577,1.12238,1.83751,0.53503,1.30182,0.000199,0.000199,0.000199
